passage	node	occurrence	OSMmorph	OSMtype	BHStype	OSMmorphSuffix	OSMsuffixType	BHSsuffixType
Exodus 32:22	46988	אַ֖ף	HTa	affirmation	noun::	None	?	:
Exodus 34:1	47776	רִאשֹׁנִ֑ים	HAampa	adjective	adjective:ordinal:	None	?	:
Exodus 34:1	47791	רִאשֹׁנִ֖ים	HAampa	adjective	adjective:ordinal:	None	?	:
Exodus 34:4	47851	רִאשֹׁנִ֗ים	HAampa	adjective	adjective:ordinal:	None	?	:
Exodus 37:9	50072	מַ֗עְלָה	HD	adverb	noun::	HSd	directional he	:H
Exodus 38:25	50893	מְאַ֣ת	HR	preposition	noun:cardinal:	None	?	:
Exodus 38:25	50894	כִּכָּ֑ר	HAcbsc	cardinal number	noun::	HNcbsa	common	:
Exodus 38:26	50932	מַ֔עְלָה	HD	adverb	noun::	HSd	directional he	:H
Exodus 38:27	50947	מְאַת֙	HR	preposition	noun:cardinal:	None	?	:
Exodus 38:27	50948	כִּכַּ֣ר	HAcbsc	cardinal number	noun::	HNcbsc	common	:
Exodus 38:27	50962	מְאַ֧ת	HR	preposition	noun:cardinal:	None	?	:
Exodus 38:27	50963	אֲדָנִ֛ים	HAcbsc	cardinal number	noun::	HNcmpa	common	:
Leviticus 5:8	54477	רִאשֹׁונָ֑ה	HAafsa	adjective	adjective:ordinal:	None	?	:
Leviticus 9:15	57192	רִאשֹֽׁון	HAamsa	adjective	adjective:ordinal:	None	?	:
Leviticus 11:21	58184	לא	HTn	negative	preposition::	None	?	p:
Leviticus 25:30	67708	לא	HTn	negative	preposition::	None	?	p:
Leviticus 26:8	68272	רְבָבָ֣ה	HNcfsa	common	noun:noun of multitude:	None	?	:
Leviticus 26:45	68925	רִאשֹׁנִ֑ים	HAampa	adjective	adjective:ordinal:	None	?	:
Leviticus 27:7	69079	מַ֨עְלָה֙	HD	adverb	noun::	HSd	directional he	:H
Numbers 1:3	69665	מַ֔עְלָה	HD	adverb	noun::	HSd	directional he	:H
Numbers 1:16	69771	אַלְפֵ֥י	HAcbpc	cardinal number	noun:noun of multitude:	None	?	:
Numbers 1:18	69816	מַ֖עְלָה	HD	adverb	noun::	HSd	directional he	:H
